DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
ACAP Saint John: Community-Based Water Monitoring Program,LittleRiverUp,Little River Upstream,45.29805556,-66.00638889,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-05,0:00:00,,,,,Water Bottle,Fecal Coliform,,,75,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-05,0:00:00,,,,,Water Bottle,Fecal Coliform,,,32000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-05,0:00:00,,,,,Water Bottle,Fecal Coliform,,,50,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestDown,Saints Rest Downstream,45.21944444,-66.13138889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-07-05,0:00:00,,,,,Water Bottle,Fecal Coliform,,,1300,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestUp,Saints Rest Upstream,45.23611111,-66.11888889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-07-05,0:00:00,,,,,Water Bottle,Fecal Coliform,,,1650,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-09,0:00:00,,,,,Water Bottle,Fecal Coliform,,,900,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-09,0:00:00,,,,,Water Bottle,Fecal Coliform,,,225,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-09,0:00:00,,,,,Water Bottle,Fecal Coliform,,,125,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,INDN,Inner Harbour Downstream,45.272068,-66.073478,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-07-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,50,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,38000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,175,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestDown,Saints Rest Downstream,45.21944444,-66.13138889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-07-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,27000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestUp,Saints Rest Upstream,45.23611111,-66.11888889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-07-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,425,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,150,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,150,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,125,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LittleRiverUp,Little River Upstream,45.29805556,-66.00638889,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-19,0:00:00,,,,,Water Bottle,Fecal Coliform,,,275,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-19,0:00:00,,,,,Water Bottle,Fecal Coliform,,,29000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-19,0:00:00,,,,,Water Bottle,Fecal Coliform,,,475,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-22,0:00:00,,,,,Water Bottle,Fecal Coliform,,,150,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-22,0:00:00,,,,,Water Bottle,Fecal Coliform,,,100,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-22,0:00:00,,,,,Water Bottle,Fecal Coliform,,,75,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-26,0:00:00,,,,,Water Bottle,Fecal Coliform,,,76000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-26,0:00:00,,,,,Water Bottle,Fecal Coliform,,,500,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestDown,Saints Rest Downstream,45.21944444,-66.13138889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-07-26,0:00:00,,,,,Water Bottle,Fecal Coliform,,,25000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestUp,Saints Rest Upstream,45.23611111,-66.11888889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-07-26,0:00:00,,,,,Water Bottle,Fecal Coliform,,,1650,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-29,0:00:00,,,,,Water Bottle,Fecal Coliform,,,525,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-29,0:00:00,,,,,Water Bottle,Fecal Coliform,,,100,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-07-29,0:00:00,,,,,Water Bottle,Fecal Coliform,,,50,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LittleRiverUp,Little River Upstream,45.29805556,-66.00638889,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-02,0:00:00,,,,,Water Bottle,Fecal Coliform,,,100,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-02,0:00:00,,,,,Water Bottle,Fecal Coliform,,,52000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-02,0:00:00,,,,,Water Bottle,Fecal Coliform,,,600,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestDown,Saints Rest Downstream,45.21944444,-66.13138889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-08-02,0:00:00,,,,,Water Bottle,Fecal Coliform,,,175,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestUp,Saints Rest Upstream,45.23611111,-66.11888889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-08-02,0:00:00,,,,,Water Bottle,Fecal Coliform,,,10000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-07,0:00:00,,,,,Water Bottle,Fecal Coliform,,,175,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-07,0:00:00,,,,,Water Bottle,Fecal Coliform,,,200,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-07,0:00:00,,,,,Water Bottle,Fecal Coliform,,,50,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,INDN,Inner Harbour Downstream,45.272068,-66.073478,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-08-09,0:00:00,,,,,Water Bottle,Fecal Coliform,,,100,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-09,0:00:00,,,,,Water Bottle,Fecal Coliform,,,19000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-09,0:00:00,,,,,Water Bottle,Fecal Coliform,,,175,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-13,0:00:00,,,,,Water Bottle,Fecal Coliform,,,700,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-13,0:00:00,,,,,Water Bottle,Fecal Coliform,,,50,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,19700,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,50,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestDown,Saints Rest Downstream,45.21944444,-66.13138889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-08-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,14000,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestUp,Saints Rest Upstream,45.23611111,-66.11888889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-08-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,19700,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneDown,Lorneville Downstream,45.1975,-66.16222222,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-20,0:00:00,,,,,Water Bottle,Fecal Coliform,,,200,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LorneUp,Lorneville Upstream,45.19111111,-66.16944444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-20,0:00:00,,,,,Water Bottle,Fecal Coliform,,,25,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-20,0:00:00,,,,,Water Bottle,Fecal Coliform,,,75,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,INDN,Inner Harbour Downstream,45.272068,-66.073478,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-08-23,0:00:00,,,,,Water Bottle,Fecal Coliform,,,100,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-23,0:00:00,,,,,Water Bottle,Fecal Coliform,,,12600,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1995-08-23,0:00:00,,,,,Water Bottle,Fecal Coliform,,,18900,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestDown,Saints Rest Downstream,45.21944444,-66.13138889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-08-23,0:00:00,,,,,Water Bottle,Fecal Coliform,,,7900,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestUp,Saints Rest Upstream,45.23611111,-66.11888889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1995-08-23,0:00:00,,,,,Water Bottle,Fecal Coliform,,,6300,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LittleRiverUp,Little River Upstream,45.29805556,-66.00638889,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,50,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,3570,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCUP,Marsh Creek Upstream,45.321672,-66.015109,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,50,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestDown,Saints Rest Downstream,45.21944444,-66.13138889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1996-06-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,80,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,StRestUp,Saints Rest Upstream,45.23611111,-66.11888889,WGS84,,,,,Estuary,Sample-Routine,Surface Water,1996-06-12,0:00:00,,,,,Water Bottle,Fecal Coliform,,,4770,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,HazenCreekUp,Hazen Creek Upstream,45.26861111,-65.98027778,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,15.7,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,RedHeadMarsh,Red Head Marsh,45.26083333,-66.01611111,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,21,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-16,0:00:00,,,,,Water Bottle,Fecal Coliform,,,20,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,HazenCreekUp,Hazen Creek Upstream,45.26861111,-65.98027778,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-23,0:00:00,,,,,Water Bottle,Fecal Coliform,,,10.7,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,RedHeadMarsh,Red Head Marsh,45.26083333,-66.01611111,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-23,0:00:00,,,,,Water Bottle,Fecal Coliform,,,17,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,SouthBayUp,South Bay Upstream,45.26,-66.09333333,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-23,0:00:00,,,,,Water Bottle,Fecal Coliform,,,70,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LittleRiverDown,Little River Downstream,45.27416667,-66.02694444,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-26,0:00:00,,,,,Water Bottle,Fecal Coliform,,,6300,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,LittleRiverUp,Little River Upstream,45.29805556,-66.00638889,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-26,0:00:00,,,,,Water Bottle,Fecal Coliform,,,20,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
ACAP Saint John: Community-Based Water Monitoring Program,MCDN,Marsh Creek Downstream,45.282676,-66.049784,WGS84,,,,,River/Stream,Sample-Routine,Surface Water,1996-06-26,0:00:00,,,,,Water Bottle,Fecal Coliform,,,51660,cfu/100mL,Actual,,,,,,,8048,HACH,,,,,NBCC,
